Designator,Mid X,Mid Y,Rotation,Layer
C302,152.403515,101.100985,180.0,bottom
C303,152.403515,103.610985,180.0,bottom
C304,156.753515,96.080985,180.0,bottom
C305,165.503515,96.330985,180.0,bottom
C306,156.753515,98.590985,180.0,bottom
C307,163.343515,85.263735,180.0,bottom
C308,165.503515,99.340985,180.0,bottom
C309,156.753515,101.100985,180.0,bottom
C31,-23.0275,17.06,0.0,top
C310,165.503515,102.350985,180.0,bottom
C311,156.753515,103.610985,180.0,bottom
C312,161.103515,96.080985,180.0,bottom
C313,161.103515,98.590985,180.0,bottom
C314,161.103515,101.100985,180.0,bottom
C315,161.103515,103.610985,180.0,bottom
C316,175.041515,49.809251,180.0,bottom
C317,175.041515,52.319251,180.0,bottom
C318,175.041515,54.829251,180.0,bottom
C319,175.041515,57.339251,180.0,bottom
C32,28.11,104.0475,90.0,top
C320,179.391515,49.809251,180.0,bottom
C321,188.141515,50.059251,180.0,bottom
C322,179.391515,52.319251,180.0,bottom
C323,185.981515,42.441735,180.0,bottom
C324,188.141515,53.069251,180.0,bottom
C325,179.391515,54.829251,180.0,bottom
C326,188.141515,56.079251,180.0,bottom
C327,179.391515,57.339251,180.0,bottom
C328,183.741515,49.809251,180.0,bottom
C329,183.741515,52.319251,180.0,bottom
C33,20.685,63.925,0.0,top
C330,183.741515,54.829251,180.0,bottom
C331,183.741515,57.339251,180.0,bottom
C332,197.051515,49.575251,180.0,bottom
C333,197.051515,52.085251,180.0,bottom
C334,197.051515,54.595251,180.0,bottom
C335,197.051515,57.105251,180.0,bottom
C336,201.401515,49.575251,180.0,bottom
C337,210.151515,49.825251,180.0,bottom
C338,201.401515,52.085251,180.0,bottom
C339,207.991515,42.675735,180.0,bottom
C34,14.095,59.455,0.0,top
C340,210.151515,52.835251,180.0,bottom
C341,201.401515,54.595251,180.0,bottom
C342,210.151515,55.845251,180.0,bottom
C343,201.401515,57.105251,180.0,bottom
C344,205.751515,49.575251,180.0,bottom
C345,205.751515,52.085251,180.0,bottom
C346,205.751515,54.595251,180.0,bottom
C347,205.751515,57.105251,180.0,bottom
C348,222.904,57.331736,180.0,bottom
C349,227.0315,48.321736,180.0,bottom
C35,20.775,57.345,0.0,top
C350,227.0315,50.831736,180.0,bottom
C351,227.0315,53.341736,180.0,bottom
C352,227.0315,55.851736,180.0,bottom
C353,231.011515,48.869251,180.0,bottom
C354,231.124,55.001736,180.0,bottom
C355,230.444,39.33925,180.0,bottom
C356,231.011515,51.879251,180.0,bottom
C357,238.545,43.93675,0.0,bottom
C358,126.0,100.46,180.0,bottom
C359,238.5675,41.53675,0.0,bottom
C36,24.285,69.565,90.0,top
C360,238.545,38.91675,0.0,bottom
C361,122.9025,74.66675,180.0,bottom
C362,133.23,76.27325,180.0,bottom
C363,238.5825,36.03675,0.0,bottom
C364,-26.8025,78.16,90.0,top
C365,141.666428,47.595,180.0,bottom
C366,131.441428,22.27,270.0,bottom
C367,126.771428,22.3,270.0,bottom
C368,141.686428,54.775,0.0,bottom
C369,129.171428,22.19,270.0,bottom
C37,37.575,55.985,0.0,top
C370,128.966428,48.095,90.0,bottom
C371,138.526428,54.435,90.0,bottom
C372,125.211428,48.05,90.0,bottom
C373,122.201428,48.05,90.0,bottom
C374,119.191428,48.05,90.0,bottom
C375,111.751428,47.9,0.0,bottom
C376,111.751428,44.89,0.0,bottom
C377,111.751428,41.88,0.0,bottom
C378,111.751428,38.87,0.0,bottom
C38,60.46,95.4525,270.0,top
C39,56.21,95.4525,270.0,top
C4,-15.88,21.61,0.0,top
C40,-23.2375,29.34,0.0,top
C41,51.96,95.4525,270.0,top
C42,47.71,95.4525,270.0,top
C43,43.46,95.4525,270.0,top
C44,-35.0675,23.93,180.0,top
C45,34.96,95.4525,270.0,top
C46,30.71,95.4525,270.0,top
C47,26.46,95.4525,270.0,top
C48,60.46,89.8025,270.0,top
C49,56.21,89.8025,270.0,top
C5,-14.35,28.71,0.0,top
C50,51.96,89.8025,270.0,top
C51,32.545,45.715,0.0,top
C52,20.875,55.055,180.0,top
C53,47.71,89.8025,270.0,top
C54,33.755,52.605,90.0,top
C55,44.165,62.365,0.0,top
C56,27.935,45.475,0.0,top
C57,45.415,56.115,0.0,top
C58,24.545,48.285,90.0,top
C59,212.14,23.9225,270.0,bottom
C6,-9.53,19.01,0.0,top
C60,211.84,29.925,270.0,bottom
C62,216.39,23.9225,270.0,bottom
C63,218.54,29.925,270.0,bottom
C65,220.64,23.9225,270.0,bottom
C66,224.89,23.9225,270.0,bottom
C67,225.24,29.925,270.0,bottom
C69,229.14,23.9225,270.0,bottom
C7,-9.53,17.04,0.0,top
C70,236.29,23.9225,270.0,bottom
C73,244.855,48.15325,180.0,bottom
C74,242.99,23.9225,270.0,bottom
C76,244.855,52.40325,180.0,bottom
C78,244.855,81.70325,180.0,bottom
C8,-9.48,22.0,0.0,top
C80,244.855,60.90325,180.0,bottom
C81,244.855,65.15325,180.0,bottom
C82,244.855,88.40325,180.0,bottom
C85,244.855,73.65325,180.0,bottom
C86,244.855,95.10325,180.0,bottom
C88,244.855,77.90325,180.0,bottom
C9,27.5525,24.89,180.0,bottom
C90,192.54,30.82,270.0,bottom
C92,155.64,30.82,270.0,bottom
C93,159.89,30.82,270.0,bottom
C94,199.24,30.82,270.0,bottom
C97,168.39,30.82,270.0,bottom
C98,172.64,30.82,270.0,bottom
D1,-28.93,29.69,180.0,top
FB1,138.451428,50.84,90.0,bottom
FB2,136.586428,50.815,90.0,bottom
J10,-24.52,108.4225,0.0,bottom
J3,109.99,94.39,180.0,top
J4,92.2,94.39,180.0,top
J5,74.41,94.39,180.0,top
